x,y,theta,kappa
-3.5,11.025,-1.4134,0.0069349
-3.4844,10.927,-1.4127,0.0070263
-3.4688,10.829,-1.412,0.0071193
-3.4529,10.73,-1.4113,0.0072151
-3.4369,10.631,-1.4105,0.0073139
-3.4209,10.532,-1.4098,0.0074144
-3.4049,10.434,-1.4091,0.0075168
-3.3889,10.336,-1.4083,0.0076211
-3.3727,10.237,-1.4075,0.0077286
-3.3563,10.138,-1.4068,0.0078394
-3.3398,10.039,-1.406,0.0079524
-3.3234,9.9407,-1.4052,0.0080675
-3.307,9.8428,-1.4044,0.0081848
-3.2904,9.7442,-1.4035,0.0083059
-3.2736,9.645,-1.4027,0.0084308
-3.2568,9.5463,-1.4018,0.0085582
-3.24,9.4481,-1.401,0.0086882
-3.2232,9.3504,-1.4001,0.0088207
-3.2061,9.2509,-1.3992,0.0089592
-3.1889,9.152,-1.3983,0.0091005
-3.1717,9.0536,-1.3974,0.0092449
-3.1545,8.9557,-1.3965,0.0093922
-3.1371,8.8573,-1.3955,0.0095444
-3.1195,8.7583,-1.3946,0.0097017
-3.102,8.6599,-1.3936,0.0098624
-3.0844,8.562,-1.3926,0.010027
-3.0666,8.4636,-1.3916,0.010196
-3.0486,8.3647,-1.3905,0.010372
-3.0307,8.2664,-1.3895,0.010551
-3.0127,8.1687,-1.3884,0.010735
-2.9943,8.0694,-1.3873,0.010927
-2.976,7.9708,-1.3862,0.011124
-2.9576,7.8727,-1.3851,0.011325
-2.9393,7.7753,-1.384,0.011531
-2.9205,7.6764,-1.3828,0.011747
-2.9018,7.5782,-1.3816,0.011968
-2.883,7.4806,-1.3804,0.012195
-2.8639,7.3816,-1.3792,0.012432
-2.8447,7.2832,-1.3779,0.012675
-2.8256,7.1855,-1.3767,0.012925
-2.8061,7.0865,-1.3753,0.013186
-2.7865,6.9882,-1.374,0.013455
-2.767,6.8906,-1.3727,0.01373
-2.7471,6.7918,-1.3713,0.01402
-2.7271,6.6936,-1.3698,0.014317
-2.7072,6.5962,-1.3684,0.014622
-2.6869,6.4976,-1.3669,0.014942
-2.6666,6.3997,-1.3654,0.015272
-2.6463,6.3026,-1.3639,0.015612
-2.6256,6.2043,-1.3623,0.015968
-2.6049,6.1069,-1.3607,0.016335
-2.5838,6.0084,-1.359,0.01672
-2.5627,5.9107,-1.3573,0.017118
-2.5416,5.8138,-1.3556,0.017528
-2.5201,5.7159,-1.3538,0.017959
-2.4986,5.6188,-1.352,0.018404
-2.4768,5.5209,-1.3501,0.018872
-2.4549,5.4238,-1.3482,0.019356
-2.4326,5.3259,-1.3463,0.019866
-2.4104,5.2288,-1.3443,0.020394
-2.3877,5.131,-1.3422,0.020949
-2.365,5.0341,-1.3401,0.021525
-2.342,4.9364,-1.3379,0.022133
-2.3189,4.8398,-1.3357,0.022763
-2.2955,4.7424,-1.3333,0.023428
-2.2721,4.6461,-1.331,0.024119
-2.2482,4.5491,-1.3285,0.024849
-2.224,4.4517,-1.326,0.025622
-2.1998,4.3552,-1.3234,0.026426
-2.1752,4.2583,-1.3207,0.027277
-2.1502,4.161,-1.318,0.028179
-2.1252,4.0648,-1.3151,0.02912
-2.0998,3.9683,-1.3121,0.030119
-2.074,3.8714,-1.3091,0.03118
-2.0482,3.7758,-1.3059,0.03229
-2.0217,3.6785,-1.3026,0.033488
-1.9951,3.5824,-1.2992,0.034746
-1.9682,3.4863,-1.2957,0.036085
