x,y,theta,kappa
8.1109,5.9209,0.97025,0.032482
8.1672,6.0033,0.97346,0.032026
8.2234,6.0862,0.97665,0.031577
8.2797,6.1698,0.97981,0.031136
8.3352,6.2527,0.98289,0.030708
8.3906,6.3362,0.98595,0.030287
8.4453,6.4191,0.98894,0.029878
8.5,6.5025,0.9919,0.029477
8.5547,6.5864,0.99483,0.029081
8.6094,6.6709,0.99774,0.028692
8.6633,6.7547,1.0006,0.028314
8.7172,6.839,1.0034,0.027943
8.7703,6.9227,1.0061,0.027582
8.8234,7.0068,1.0089,0.027227
8.8766,7.0914,1.0116,0.026878
8.9297,7.1765,1.0143,0.026534
8.9828,7.2622,1.0169,0.026195
9.0352,7.3471,1.0195,0.025866
9.0875,7.4324,1.0221,0.025543
9.1391,7.517,1.0246,0.025229
9.1906,7.6021,1.0271,0.024919
9.2422,7.6876,1.0296,0.024614
9.2937,7.7736,1.032,0.024314
9.3453,7.8601,1.0344,0.024018
9.3961,7.9458,1.0368,0.023731
9.4469,8.0319,1.0392,0.023448
9.4977,8.1185,1.0415,0.023169
9.5477,8.2042,1.0438,0.022898
9.5977,8.2904,1.0461,0.022631
9.6477,8.377,1.0483,0.022368
9.6977,8.464,1.0506,0.022109
9.7477,8.5515,1.0528,0.021853
9.7969,8.6381,1.0549,0.021605
9.8461,8.7251,1.0571,0.02136
9.8953,8.8125,1.0592,0.021119
9.9437,8.899,1.0613,0.020885
9.9922,8.9859,1.0634,0.020654
10.041,9.0733,1.0654,0.020426
10.089,9.161,1.0675,0.020201
10.137,9.2492,1.0695,0.019979
10.186,9.3378,1.0715,0.019761
10.234,9.4254,1.0734,0.019548
10.281,9.5134,1.0754,0.019339
10.329,9.6018,1.0773,0.019132
10.376,9.6891,1.0792,0.018931
10.423,9.7769,1.0811,0.018733
10.47,9.865,1.0829,0.018538
10.516,9.9535,1.0848,0.018345
10.563,10.042,1.0866,0.018154
10.61,10.132,1.0884,0.017966
10.656,10.22,1.0902,0.017783
10.702,10.309,1.092,0.017603
10.748,10.398,1.0937,0.017425
10.795,10.487,1.0955,0.017249
10.84,10.575,1.0972,0.017079
10.885,10.664,1.0989,0.01691
10.93,10.753,1.1006,0.016743
10.976,10.842,1.1022,0.016579
11.021,10.932,1.1039,0.016417
11.066,11.022,1.1055,0.016256
11.111,11.111,1.1071,0.0161
11.155,11.2,1.1087,0.015946
11.2,11.29,1.1103,0.015794
11.245,11.38,1.1119,0.015644
11.289,11.47,1.1135,0.015495
11.333,11.559,1.115,0.015351
11.377,11.648,1.1165,0.015209
11.42,11.738,1.118,0.015068
11.464,11.828,1.1195,0.014929
11.508,11.919,1.121,0.014791
11.552,12.009,1.1225,0.014655
11.595,12.099,1.124,0.014523
11.638,12.189,1.1254,0.014392
11.68,12.279,1.1268,0.014263
11.723,12.37,1.1283,0.014136
11.766,12.46,1.1297,0.014009
11.809,12.552,1.1311,0.013885
11.852,12.641,1.1325,0.013763
11.894,12.732,1.1338,0.013644
11.936,12.822,1.1352,0.013525
11.978,12.913,1.1365,0.013408
12.02,13.004,1.1379,0.013292
12.063,13.095,1.1392,0.013177
12.105,13.187,1.1405,0.013064
12.146,13.277,1.1418,0.012954
12.188,13.368,1.1431,0.012845
12.229,13.459,1.1444,0.012737
12.27,13.55,1.1456,0.01263
12.312,13.642,1.1469,0.012525
12.353,13.734,1.1482,0.01242
12.394,13.824,1.1494,0.012319
12.434,13.915,1.1506,0.012218
12.475,14.006,1.1518,0.012119
12.516,14.098,1.153,0.012021
12.556,14.189,1.1542,0.011924
12.597,14.281,1.1554,0.011827
12.638,14.374,1.1566,0.011732
12.677,14.464,1.1578,0.011639
12.717,14.555,1.1589,0.011548
12.757,14.647,1.1601,0.011457
12.797,14.738,1.1612,0.011367
12.837,14.83,1.1623,0.011278
12.877,14.923,1.1635,0.01119
12.916,15.015,1.1646,0.011103
12.956,15.108,1.1657,0.011017
12.995,15.199,1.1668,0.010933
13.034,15.291,1.1679,0.01085
13.073,15.382,1.169,0.010768
13.113,15.474,1.17,0.010687
13.152,15.567,1.1711,0.010606
13.191,15.659,1.1722,0.010526
13.23,15.752,1.1732,0.010447
13.268,15.844,1.1743,0.01037
13.307,15.936,1.1753,0.010294
13.345,16.028,1.1763,0.010219
13.383,16.12,1.1773,0.010144
13.421,16.212,1.1783,0.01007
13.46,16.305,1.1793,0.0099968
13.498,16.398,1.1803,0.0099242
13.536,16.491,1.1813,0.0098524
13.575,16.584,1.1823,0.0097812
13.612,16.676,1.1833,0.0097121
13.65,16.768,1.1843,0.0096436
13.687,16.86,1.1852,0.0095757
13.725,16.953,1.1862,0.0095084
13.762,17.046,1.1871,0.0094417
13.8,17.139,1.1881,0.0093757
13.837,17.232,1.189,0.0093102
13.875,17.325,1.1899,0.0092453
13.912,17.419,1.1909,0.009181
13.949,17.511,1.1918,0.0091186
13.986,17.604,1.1927,0.0090567
14.022,17.696,1.1936,0.0089953
14.059,17.789,1.1945,0.0089345
14.096,17.882,1.1954,0.0088742
14.132,17.975,1.1962,0.0088145
14.169,18.069,1.1971,0.0087552
14.206,18.163,1.198,0.0086965
14.243,18.257,1.1989,0.0086382
14.279,18.349,1.1997,0.0085817
14.314,18.441,1.2006,0.0085257
14.35,18.534,1.2014,0.0084701
14.386,18.627,1.2023,0.008415
14.422,18.72,1.2031,0.0083603
14.458,18.814,1.2039,0.0083061
14.494,18.907,1.2048,0.0082524
14.53,19.001,1.2056,0.0081991
14.566,19.095,1.2064,0.0081462
14.602,19.19,1.2072,0.0080938
14.638,19.283,1.208,0.0080424
14.673,19.376,1.2088,0.0079919
14.708,19.469,1.2096,0.0079419
14.743,19.562,1.2104,0.0078923
14.778,19.655,1.2112,0.007843
14.813,19.749,1.212,0.0077942
14.848,19.843,1.2128,0.0077457
14.884,19.937,1.2135,0.0076977
14.919,20.031,1.2143,0.00765
14.954,20.126,1.2151,0.0076027
14.989,20.219,1.2158,0.0075562
15.023,20.312,1.2166,0.0075107
15.057,20.405,1.2173,0.0074655
15.092,20.499,1.2181,0.0074207
15.126,20.592,1.2188,0.0073762
15.161,20.686,1.2195,0.0073321
15.195,20.78,1.2203,0.0072883
15.229,20.874,1.221,0.0072448
15.264,20.968,1.2217,0.0072017
15.298,21.063,1.2225,0.0071589
15.332,21.157,1.2232,0.0071164
15.366,21.251,1.2239,0.0070747
15.4,21.345,1.2246,0.0070334
15.434,21.439,1.2253,0.0069928
15.468,21.532,1.226,0.0069525
15.501,21.626,1.2267,0.0069126
15.535,21.72,1.2273,0.0068729
15.568,21.814,1.228,0.0068335
15.602,21.908,1.2287,0.0067944
15.636,22.002,1.2294,0.0067556
15.669,22.097,1.2301,0.0067171
15.703,22.192,1.2307,0.0066788
15.736,22.287,1.2314,0.0066409
15.77,22.381,1.2321,0.0066036
15.803,22.475,1.2327,0.0065667
15.836,22.569,1.2334,0.0065304
15.868,22.662,1.234,0.0064944
15.901,22.756,1.2347,0.0064586
15.934,22.85,1.2353,0.0064231
15.967,22.944,1.236,0.0063879
16,23.039,1.2366,0.0063529
16.032,23.133,1.2372,0.0063181
16.065,23.228,1.2379,0.0062836
16.098,23.323,1.2385,0.0062493
16.131,23.418,1.2391,0.0062153
16.164,23.514,1.2397,0.0061815
16.196,23.608,1.2404,0.0061484
16.229,23.703,1.241,0.0061154
16.261,23.798,1.2416,0.0060827
16.293,23.891,1.2422,0.0060507
16.325,23.986,1.2428,0.0060188
16.357,24.08,1.2434,0.0059872
16.389,24.174,1.244,0.0059557
16.421,24.269,1.2446,0.0059245
16.453,24.363,1.2452,0.0058935
16.485,24.458,1.2457,0.0058627
16.517,24.554,1.2463,0.0058321
16.549,24.649,1.2469,0.0058017
16.581,24.744,1.2475,0.0057716
16.613,24.84,1.2481,0.0057416
16.645,24.935,1.2487,0.0057122
16.677,25.03,1.2492,0.005683
16.708,25.125,1.2498,0.005654
16.739,25.219,1.2504,0.0056255
16.771,25.313,1.2509,0.0055972
16.802,25.408,1.2515,0.0055691
16.833,25.502,1.252,0.0055412
16.864,25.597,1.2526,0.0055134
16.896,25.692,1.2531,0.0054859
16.927,25.787,1.2537,0.0054585
16.958,25.882,1.2542,0.0054313
16.989,25.978,1.2548,0.0054043
17.021,26.073,1.2553,0.0053774
17.052,26.169,1.2558,0.0053507
17.083,26.265,1.2564,0.0053242
17.114,26.36,1.2569,0.0052982
17.145,26.455,1.2574,0.0052724
17.176,26.551,1.258,0.0052467
17.206,26.645,1.2585,0.0052215
17.237,26.739,1.259,0.0051964
17.267,26.834,1.2595,0.0051716
17.298,26.929,1.26,0.0051468
17.328,27.024,1.2605,0.0051223
17.359,27.119,1.2611,0.0050978
17.389,27.214,1.2616,0.0050736
17.42,27.31,1.2621,0.0050494
17.45,27.405,1.2626,0.0050255
17.48,27.501,1.2631,0.0050016
17.511,27.597,1.2636,0.0049779
17.541,27.693,1.2641,0.0049544
17.572,27.789,1.2646,0.004931
17.602,27.885,1.2651,0.0049081
17.632,27.98,1.2656,0.0048853
17.662,28.076,1.266,0.0048626
17.692,28.17,1.2665,0.0048403
17.721,28.265,1.267,0.0048182
17.751,28.359,1.2675,0.0047962
17.781,28.454,1.268,0.0047744
17.811,28.549,1.2684,0.0047527
17.84,28.645,1.2689,0.0047311
17.87,28.74,1.2694,0.0047096
17.9,28.836,1.2699,0.0046883
17.929,28.931,1.2703,0.004667
17.959,29.027,1.2708,0.004646
17.989,29.123,1.2713,0.004625
18.018,29.22,1.2717,0.0046041
18.048,29.316,1.2722,0.0045834
18.078,29.412,1.2726,0.0045628
18.107,29.508,1.2731,0.0045426
18.136,29.603,1.2735,0.0045225
18.166,29.699,1.274,0.0045025
18.195,29.795,1.2745,0.0044827
18.224,29.89,1.2749,0.0044632
18.253,29.985,1.2753,0.0044438
18.282,30.08,1.2758,0.0044245
18.311,30.175,1.2762,0.0044054
18.339,30.27,1.2767,0.0043863
18.368,30.366,1.2771,0.0043674
18.397,30.461,1.2775,0.0043485
18.426,30.557,1.278,0.0043298
18.455,30.653,1.2784,0.0043112
18.484,30.749,1.2788,0.0042927
18.513,30.845,1.2793,0.0042742
18.542,30.942,1.2797,0.0042559
18.571,31.038,1.2801,0.0042377
18.6,31.135,1.2805,0.0042196
18.628,31.231,1.281,0.0042018
18.657,31.326,1.2814,0.0041842
18.685,31.422,1.2818,0.0041666
18.714,31.518,1.2822,0.0041491
18.742,31.614,1.2826,0.0041317
18.77,31.709,1.283,0.0041147
18.798,31.804,1.2834,0.0040977
18.827,31.9,1.2838,0.0040808
18.855,31.995,1.2843,0.0040641
18.883,32.09,1.2847,0.0040474
18.911,32.186,1.2851,0.0040308
18.939,32.282,1.2855,0.0040143
18.967,32.378,1.2859,0.0039978
18.995,32.474,1.2863,0.0039815
19.023,32.57,1.2867,0.0039653
19.052,32.667,1.2871,0.0039491
19.08,32.763,1.2875,0.003933
19.108,32.86,1.2878,0.003917
19.136,32.957,1.2882,0.0039011
19.164,33.054,1.2886,0.0038853
19.192,33.149,1.289,0.0038698
19.22,33.245,1.2894,0.0038543
19.247,33.341,1.2898,0.003839
19.275,33.437,1.2902,0.0038237
19.303,33.534,1.2906,0.0038085
19.33,33.63,1.2909,0.0037934
19.358,33.725,1.2913,0.0037786
19.385,33.821,1.2917,0.0037638
19.413,33.916,1.2921,0.0037491
19.44,34.012,1.2924,0.0037345
19.467,34.107,1.2928,0.00372
19.495,34.203,1.2932,0.0037055
19.522,34.299,1.2935,0.0036911
19.549,34.395,1.2939,0.0036768
19.577,34.492,1.2943,0.0036626
19.604,34.588,1.2946,0.0036484
19.631,34.685,1.295,0.0036343
19.659,34.781,1.2954,0.0036203
19.686,34.878,1.2957,0.0036063
19.713,34.975,1.2961,0.0035925
19.741,35.072,1.2965,0.0035786
19.768,35.17,1.2968,0.0035649
19.795,35.266,1.2972,0.0035514
19.822,35.362,1.2975,0.003538
19.849,35.458,1.2979,0.0035247
19.876,35.554,1.2982,0.0035114
19.903,35.651,1.2986,0.0034982
19.93,35.747,1.2989,0.003485
19.957,35.844,1.2993,0.0034719
19.983,35.94,1.2996,0.0034591
20.01,36.035,1.3,0.0034463
20.036,36.131,1.3003,0.0034336
20.063,36.227,1.3007,0.0034209
20.089,36.323,1.301,0.0034084
20.116,36.419,1.3013,0.0033958
20.143,36.515,1.3017,0.0033834
20.169,36.611,1.302,0.0033709
20.196,36.708,1.3024,0.0033586
20.222,36.805,1.3027,0.0033463
20.249,36.901,1.303,0.0033341
20.275,36.998,1.3034,0.0033219
20.302,37.095,1.3037,0.0033098
20.329,37.192,1.304,0.0032977
20.355,37.29,1.3044,0.0032857
20.382,37.387,1.3047,0.0032738
20.408,37.483,1.305,0.0032621
20.434,37.579,1.3053,0.0032504
20.46,37.676,1.3057,0.0032388
20.486,37.772,1.306,0.0032273
20.513,37.869,1.3063,0.0032158
20.539,37.965,1.3066,0.0032043
20.565,38.062,1.3069,0.0031929
