x,y,theta,kappa
7.443,5.5398,0.97927,0.03468
7.4984,5.6227,0.9827,0.03415
7.5539,5.7061,0.98609,0.03363
7.6086,5.7891,0.98941,0.033127
7.6633,5.8726,0.99269,0.032633
7.718,5.9567,0.99594,0.032147
7.7727,6.0414,0.99916,0.03167
7.8266,6.1255,1.0023,0.031208
7.8805,6.2102,1.0054,0.030754
7.9336,6.2942,1.0084,0.030314
7.9867,6.3788,1.0114,0.029882
8.0398,6.4639,1.0144,0.029457
8.093,6.5496,1.0174,0.02904
8.1453,6.6346,1.0203,0.028636
8.1977,6.7202,1.0231,0.028238
8.2492,6.805,1.0259,0.027853
8.3008,6.8903,1.0286,0.027474
8.3523,6.9762,1.0314,0.027101
8.4039,7.0626,1.0341,0.026735
8.4547,7.1482,1.0367,0.02638
8.5055,7.2343,1.0394,0.026031
8.5562,7.3209,1.042,0.025687
8.6062,7.4068,1.0445,0.025354
8.6562,7.4931,1.047,0.025026
8.7063,7.5799,1.0495,0.024703
8.7563,7.6672,1.052,0.024386
8.8055,7.7536,1.0544,0.024078
8.8547,7.8405,1.0568,0.023775
8.9039,7.928,1.0591,0.023477
8.9523,8.0144,1.0614,0.023188
9.0008,8.1014,1.0637,0.022903
9.0492,8.1888,1.066,0.022623
9.0977,8.2767,1.0683,0.022346
9.1461,8.3651,1.0705,0.022074
9.1937,8.4525,1.0727,0.021811
9.2414,8.5404,1.0749,0.021551
9.2891,8.6287,1.077,0.021295
9.3359,8.716,1.0791,0.021047
9.3828,8.8037,1.0812,0.020802
9.4297,8.8919,1.0833,0.020561
9.4766,8.9805,1.0853,0.020323
9.5234,9.0696,1.0873,0.020089
9.5695,9.1576,1.0893,0.019862
9.6156,9.246,1.0913,0.019638
9.6617,9.3349,1.0932,0.019418
9.7078,9.4242,1.0952,0.0192
9.7531,9.5123,1.0971,0.018989
9.7984,9.6009,1.099,0.018781
9.8438,9.6899,1.1008,0.018575
9.8891,9.7794,1.1027,0.018373
9.9344,9.8692,1.1045,0.018173
9.9797,9.9594,1.1063,0.017976
10.024,10.048,1.1081,0.017785
10.069,10.138,1.1099,0.017596
10.113,10.228,1.1116,0.01741
10.158,10.318,1.1134,0.017227
10.202,10.407,1.1151,0.017049
10.245,10.497,1.1168,0.016873
10.289,10.586,1.1184,0.0167
10.333,10.677,1.1201,0.016528
