x,y,theta,kappa
-5,-21.25,1.4537,0.0027117
-4.9883,-21.151,1.4534,0.0027306
-4.9766,-21.051,1.4531,0.0027496
-4.9648,-20.952,1.4529,0.0027689
-4.9531,-20.853,1.4526,0.0027883
-4.9414,-20.755,1.4523,0.0028079
-4.9297,-20.657,1.452,0.0028277
-4.9178,-20.557,1.4517,0.002848
-4.9059,-20.457,1.4515,0.0028685
-4.8939,-20.358,1.4512,0.0028892
-4.882,-20.259,1.4509,0.0029101
-4.8701,-20.16,1.4506,0.0029312
-4.858,-20.06,1.4503,0.0029529
-4.8459,-19.96,1.45,0.0029747
-4.8338,-19.861,1.4497,0.0029968
-4.8217,-19.761,1.4494,0.0030191
-4.8096,-19.662,1.4491,0.0030417
-4.7975,-19.563,1.4488,0.0030644
-4.7854,-19.465,1.4485,0.0030874
-4.7732,-19.366,1.4482,0.0031106
-4.7609,-19.267,1.4479,0.0031344
-4.7486,-19.167,1.4475,0.0031585
-4.7363,-19.068,1.4472,0.0031828
-4.724,-18.969,1.4469,0.0032073
-4.7117,-18.87,1.4466,0.0032321
-4.6992,-18.77,1.4463,0.0032576
-4.6867,-18.671,1.4459,0.0032833
-4.6742,-18.571,1.4456,0.0033093
-4.6617,-18.472,1.4453,0.0033356
-4.6492,-18.373,1.4449,0.0033621
-4.6367,-18.274,1.4446,0.003389
-4.6242,-18.176,1.4443,0.0034161
-4.6115,-18.076,1.4439,0.0034439
-4.5988,-17.977,1.4436,0.0034721
-4.5861,-17.878,1.4432,0.0035005
-4.5734,-17.779,1.4429,0.0035293
-4.5605,-17.679,1.4425,0.0035588
-4.5477,-17.579,1.4422,0.0035886
-4.5348,-17.479,1.4418,0.0036188
-4.5219,-17.38,1.4414,0.0036493
-4.509,-17.281,1.4411,0.0036802
-4.4961,-17.183,1.4407,0.0037114
-4.4832,-17.084,1.4403,0.003743
-4.4701,-16.985,1.44,0.0037754
-4.457,-16.885,1.4396,0.0038082
-4.4439,-16.786,1.4392,0.0038413
-4.4309,-16.688,1.4388,0.0038749
-4.4176,-16.588,1.4384,0.0039093
-4.4043,-16.488,1.438,0.0039442
-4.391,-16.389,1.4376,0.0039794
-4.3777,-16.29,1.4372,0.0040151
-4.3645,-16.191,1.4368,0.0040512
-4.3512,-16.093,1.4364,0.0040878
-4.3377,-15.993,1.436,0.0041253
-4.3242,-15.894,1.4356,0.0041633
-4.3107,-15.795,1.4352,0.0042017
-4.2971,-15.695,1.4347,0.0042412
-4.2834,-15.595,1.4343,0.0042812
-4.2697,-15.496,1.4339,0.0043217
-4.2561,-15.397,1.4335,0.0043627
-4.2424,-15.298,1.433,0.0044042
-4.2287,-15.2,1.4326,0.0044462
-4.215,-15.102,1.4321,0.0044888
-4.2012,-15.002,1.4317,0.0045326
-4.1873,-14.903,1.4312,0.0045769
-4.1732,-14.804,1.4308,0.0046224
-4.1592,-14.704,1.4303,0.0046685
-4.1451,-14.605,1.4298,0.0047152
-4.1311,-14.506,1.4294,0.0047626
-4.117,-14.407,1.4289,0.0048106
-4.1029,-14.309,1.4284,0.0048592
-4.0887,-14.21,1.4279,0.0049092
-4.0744,-14.111,1.4274,0.0049598
-4.06,-14.011,1.4269,0.0050119
-4.0455,-13.911,1.4264,0.0050647
-4.0311,-13.812,1.4259,0.0051182
-4.0166,-13.713,1.4254,0.0051725
-4.0021,-13.615,1.4249,0.0052276
-3.9877,-13.516,1.4243,0.0052834
-3.973,-13.417,1.4238,0.0053408
-3.9584,-13.319,1.4233,0.005399
-3.9436,-13.219,1.4227,0.0054589
-3.9287,-13.12,1.4222,0.0055196
-3.9139,-13.021,1.4216,0.0055813
-3.899,-12.922,1.4211,0.0056438
-3.8842,-12.824,1.4205,0.0057073
-3.8691,-12.725,1.4199,0.0057726
-3.8541,-12.626,1.4193,0.0058389
